Cu-transporting P1B-type ATPases_C15	-0.114780764	0.133707845	-0.005236629
Cue5-4_homolog_C17	-0.20320496	-0.019940046	-0.127738493
Cue5-4_homolog_C3	-0.1289736	-0.220625137	-0.189027575
Cue5-4_homolog_C37	0.1137468	-0.05390064	-0.035683473
Cue5-4_homolog_C91	0.080173694	0.022006713	0.036228457
Cytochrome c oxidase subunit I_mito	0.191298027	-0.315675714	-0.004955753
Cytochrome c6 isoform A_C29	-0.031637042	0.241945129	-0.195708635
Cytochrome c6 isoform B_C18	-0.050277694	0.36186251	-0.178600747
ferric reductases_C63	-0.04999259	0.260463991	0.034383304
L-ascorbate oxidase_C32	0.056413333	0.001002859	0.255888805
Metal cheleator_Cue6-7_C0	0.162931158	0.050165988	0.158982795
Metal cheleator_Cue6-7_C14	0.004958163	0.160119488	0.126045311
Metallothionein-like protein_C54	0.077846155	0.144041738	0.113860927
Multicopper oxidase-like (SufI)_C37	-0.039609571	0.143662098	-0.168449761
Multicopper oxidase-like (SufI)_C7	-0.21612187	-0.000199573	-0.084813839
Multimetal transporter (ZIP)_C111	0.195646586	-0.070347623	0.260171027
Multimetal transporter (ZIP)_C41	-0.219563214	0.059578656	0.007321178
NADH dehydrogenase_C2	-0.220970437	0.09684716	0.041925266
Barcode_C	0.452018392	-0.222514108	0.079162736
Barcode_Cu	-0.04690505	0.006129796	0.316760685
Barcoded_CuInhibition	-0.075375276	0.071188054	0.279916372
EC05	-0.05288925	0.048558511	0.461038065
EC50	0.094555597	0.016232073	0.863657182
EC95	0.19332429	-0.016417849	0.871130443
ResponseRange_Cu	0.123757593	-0.02468484	0.005680328
Growth_Rate	0.300359848	-0.261187825	0.270948001
FvFm	1	0.167248598	0.165450133
Surface_Vol_ratio	0.167248598	1	0.010825103
CuGrowth			
